window,subject,status,hits,count,rate
700,candidate_a,OOS,0,52,0.07428571428571429
700,candidate_a,OOS,1,175,0.25
700,candidate_a,OOS,2,271,0.3871428571428571
700,candidate_a,OOS,3,161,0.23
700,candidate_a,OOS,4,38,0.054285714285714284
700,candidate_a,OOS,5,3,0.004285714285714286
theory,random,THEORETICAL,0,,0.07382281066491593
theory,random,THEORETICAL,1,,0.27683553999343474
theory,random,THEORETICAL,2,,0.36911405332457964
theory,random,THEORETICAL,3,,0.21811284969179706
theory,random,THEORETICAL,4,,0.05689900426742532
theory,random,THEORETICAL,5,,0.005215742057847321
